x,Movs By SW,NlogN,N*N
1,0,0,1
2,1.625,2,4
3,3.46,4.754887502,9
4,5.575,8,16
5,7.69,11.60964047,25
6,10.03,15.509775,36
7,12.54,19.65148445,49
8,15.045,24,64
9,18.03555556,28.52932501,81
10,20.729,33.21928095,100
11,23.61,38.05374781,121
12,26.8675,43.01955001,144
13,29.98230769,48.10571634,169
14,33.07714286,53.30296891,196
15,36.65,58.60335893,225
16,39.735,64,256
17,43.08117647,69.4868683,289
18,46.65666667,75.05865003,324
19,50.01631579,80.71062276,361
20,53.723,86.4385619,400
21,57.36619048,92.23866588,441
22,60.71,98.10749561,484
23,63.85391304,104.041925,529
24,67.97541667,110.0391,576
25,72.2856,116.0964047,625
26,75.70461538,122.2114327,676
27,79.35222222,128.3819626,729
28,83.24035714,134.6059378,784
29,87.27896552,140.8814489,841
30,90.998,147.2067179,900
31,95.57096774,153.5800856,961
32,98.990625,160,1024
33,103.3360606,166.4650059,1089
34,107.5220588,172.9737366,1156
35,111.7254286,179.5249056,1225
36,115.1002778,186.1173001,1296
37,120.0316216,192.7497745,1369
38,123.66,199.4212455,1444
39,127.8538462,206.1306865,1521
40,131.808,212.8771238,1600
41,135.7382927,219.6596322,1681
42,141.0259524,226.4773318,1764
43,144.9934884,233.3293845,1849
44,149.0820455,240.2149912,1936
45,153.4733333,247.1333893,2025
46,157.9736957,254.08385,2116
47,161.9640426,261.065676,2209
48,166.99875,268.0782,2304
49,171.8834694,275.1207824,2401
50,175.3078,282.1928095,2500
51,180.245098,289.2936924,2601
52,184.6798077,296.4228653,2704
53,189.6992453,303.5797841,2809
54,193.8998148,310.7639251,2916
55,197.5558182,317.9747842,3025
56,202.4141071,325.2118756,3136
57,207.0977193,332.4747308,3249
58,212.2767241,339.7628977,3364
59,216.3998305,347.0759399,3481
60,220.4488333,354.4134357,3600
61,225.3752459,361.7749776,3721
62,229.8908065,369.1601712,3844
63,235.7873016,376.5686352,3969
64,239.821875,384,4096
65,244.6241538,391.4539078,4225
66,248.7198485,398.9300119,4356
67,253.5344776,406.4279758,4489
68,257.4573529,413.9474732,4624
69,263.6324638,421.4881875,4761
70,268.5978571,429.0498112,4900
71,272.1914085,436.6320455,5041
72,277.3966667,444.2346001,5184
73,283.0176712,451.8571928,5329
74,287.5959459,459.4995491,5476
75,292.5945333,467.1614018,5625
76,296.6840789,474.842491,5776
77,301.7819481,482.5425636,5929
78,306.2166667,490.2613731,6084
79,312.1081013,497.9986791,6241
80,316.397,505.7542476,6400
81,322.4003704,513.5278502,6561
82,326.5642683,521.3192644,6724
83,332.2940964,529.1282728,6889
84,335.8811905,536.9546635,7056
85,340.9043529,544.7982296,7225
86,345.8659302,552.6587689,7396
87,351.5966667,560.5360841,7569
88,355.9606818,568.4299824,7744
89,362.0551685,576.3402754,7921
90,366.256,584.2667787,8100
91,370.7150549,592.2093123,8281
92,375.7131522,600.1677,8464
93,381.2043011,608.1417694,8649
94,386.443617,616.1313521,8836
95,391.1665263,624.1362828,9025
96,396.5690625,632.1564001,9216
97,401.0448454,640.1915457,9409
98,407.2583673,648.2415647,9604
99,411.2242424,656.3063054,9801
100,416.769,664.385619,10000
101,421.8761386,672.4793598,10201
102,426.857549,680.5873849,10404
103,431.8447573,688.7095543,10609
104,436.3027885,696.8457307,10816
105,442.8592381,704.9957794,11025
106,449.0571698,713.1595682,11236
107,452.6797196,721.3369675,11449
108,457.7498148,729.5278502,11664
109,463.8111927,737.7320914,11881
110,468.3082727,745.9495685,12100
111,473.6066667,754.1801612,12321
112,479.919375,762.4237513,12544
113,484.5285841,770.6802228,12769
114,490.2112281,778.9494616,12996
115,495.3930435,787.2313559,13225
116,500.5981897,795.5257954,13456
117,506.2594017,803.8326722,13689
118,511.4723729,812.1518798,13924
119,517.2893277,820.4833138,14161
120,521.398,828.8268715,14400
121,526.9539669,837.1824517,14641
122,532.0088525,845.5499552,14884
123,537.9879675,853.9292842,15129
124,543.5943548,862.3203425,15376
125,547.89328,870.7230356,15625
126,554.1381746,879.1372704,15876
127,558.1883465,887.5629552,16129
128,565.5108594,896,16384
129,569.0389147,904.4483159,16641
130,575.8148462,912.9078157,16900
131,580.3343511,921.3784132,17161
132,586.6474242,929.8600238,17424
133,591.8306015,938.3525639,17689
134,597.1420149,946.8559515,17956
135,602.0608889,955.3701056,18225
136,606.8824265,963.8949464,18496
137,612.700292,972.4303954,18769
138,619.1586957,980.976375,19044
139,624.9308633,989.5328091,19321
140,630.3077857,998.0996224,19600
141,634.9125532,1006.676741,19881
142,639.9694366,1015.264091,20164
143,646.6755245,1023.861601,20449
144,652.8493056,1032.4692,20736
145,656.4455172,1041.086818,21025
146,662.2572603,1049.714386,21316
147,667.9308844,1058.351835,21609
148,673.3802027,1066.999098,21904
149,677.4311409,1075.65611,22201
150,685.1526,1084.322804,22500
151,690.0268212,1092.999116,22801
152,695.9513816,1101.684982,23104
153,701.5173203,1110.38034,23409
154,706.0306494,1119.085127,23716
155,712.8119355,1127.799283,24025
156,717.8598077,1136.522746,24336
157,723.4051592,1145.255458,24649
158,728.2014557,1153.997358,24964
159,734.5722642,1162.74839,25281
160,738.7695,1171.508495,25600
161,745.6254658,1180.277617,25921
162,751.1015432,1189.0557,26244
163,756.5053374,1197.842689,26569
164,762.769939,1206.638529,26896
165,768.4748485,1215.443165,27225
166,774.5157831,1224.256546,27556
167,778.5688024,1233.078617,27889
168,785.3869048,1241.909327,28224
169,790.7305917,1250.748625,28561
170,796.3837059,1259.596459,28900
171,800.8284795,1268.45278,29241
172,807.8574419,1277.317538,29584
173,812.547052,1286.190683,29929
174,819.7804598,1295.072168,30276
175,824.4243429,1303.961945,30625
176,830.1122159,1312.859965,30976
177,837.2062147,1321.766182,31329
178,841.8469101,1330.680551,31684
179,846.18,1339.603024,32041
180,853.1437222,1348.533557,32400
181,859.2890055,1357.472106,32761
182,864.4426923,1366.418625,33124
183,869.1435519,1375.37307,33489
184,875.5805978,1384.3354,33856
185,881.6734054,1393.30557,34225
186,888.9053226,1402.283539,34596
187,893.705508,1411.269264,34969
188,898.8086702,1420.262704,35344
189,904.4430159,1429.263818,35721
190,909.2193158,1438.272566,36100
191,916.4701571,1447.288906,36481
192,920.7830729,1456.3128,36864
193,928.534715,1465.344208,37249
194,935.2528866,1474.383091,37636
195,939.0641026,1483.429411,38025
196,944.9328061,1492.483129,38416
197,950.9666497,1501.544208,38809
198,957.4878788,1510.612611,39204
199,961.2355779,1519.688299,39601
200,969.61635,1528.771238,40000
